instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Predicted Count
339,2011-12-05,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.06220830000000001,233,3578,3811,3514.8608
523,2012-06-06,2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.077125,1027,6028,7055,6942.909
560,2012-07-13,3,1,7,0,5,1,2,0.731667,0.667933,0.485833,0.08085,1511,5988,7499,7162.5225
34,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550,1497.667
566,2012-07-19,3,1,7,0,4,1,1,0.77,0.714642,0.600417,0.165429,888,5703,6591,6884.219
436,2012-03-11,1,1,3,0,0,0,1,0.361739,0.35967,0.47695699999999996,0.22258699999999998,1658,3253,4911,3849.169
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1654.1567
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,3418.5293
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,4975.4795
490,2012-05-04,2,1,5,0,5,1,1,0.6275,0.590917,0.735417,0.162938,1069,5227,6296,6903.5903
451,2012-03-26,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,795,4763,5558,4911.882
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,1566.6616
397,2012-02-01,1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,304,4275,4579,5784.573
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1543.5487
634,2012-09-25,4,1,9,0,2,1,1,0.55,0.544179,0.57,0.236321,845,6693,7538,7740.724
455,2012-03-30,2,1,3,0,5,1,2,0.37,0.375621,0.580833,0.138067,796,4663,5459,5181.8267
427,2012-03-02,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,246,2948,3194,3978.9797
426,2012-03-01,1,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,325,4665,4990,5691.9814
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.24066700000000002,888,4196,5084,5153.0195
718,2012-12-18,4,1,12,0,2,1,1,0.410833,0.409708,0.66625,0.221404,433,5124,5557,5631.8784
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.25061700000000003,209,1953,2162,2337.8281
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1253.4727
391,2012-01-26,1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.07339580000000001,244,3831,4075,3599.4587
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.24378699999999998,166,1699,1865,2001.3036
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471,1909.5671
440,2012-03-15,1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,1005,5187,6192,6171.0654
698,2012-11-28,4,1,11,0,3,1,1,0.296667,0.28976199999999996,0.50625,0.210821,198,5062,5260,5387.8223
425,2012-02-29,1,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,65,1769,1834,3356.8926
302,2011-10-29,4,0,10,0,6,0,3,0.25416700000000003,0.227913,0.8825,0.351371,57,570,627,592.42755
11,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,1069.7933
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1411.2574
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2472.8694
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,4074.297
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.12500799999999998,775,4429,5204,5264.4844
728,2012-12-28,1,1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471,644,2451,3095,3046.5803
352,2011-12-18,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.16977899999999999,220,2211,2431,2722.661
579,2012-08-01,3,1,8,0,3,1,1,0.7175,0.667308,0.6775,0.141179,1074,6506,7580,6971.742
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,4260.0024
