"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","Predicted_Count"
50,"2011-02-19",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1285.79077148438
53,"2011-02-22",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1634.51242828369
64,"2011-03-05",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1233.59344482422
66,"2011-03-07",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1830.07737731934
68,"2011-03-09",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1533.96441650391
71,"2011-03-12",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2256.70007324219
78,"2011-03-19",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2140.54833984375
88,"2011-03-29",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2527.53799438477
93,"2011-04-03",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2617.970703125
103,"2011-04-13",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2573.93896484375
105,"2011-04-15",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,3456.51184082031
120,"2011-04-30",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4396.52111816406
126,"2011-05-06",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,3955.32727050781
155,"2011-06-04",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,5645.13647460938
170,"2011-06-19",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4777.7412109375
183,"2011-07-02",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,5604.75463867188
186,"2011-07-05",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,4605.17425537109
202,"2011-07-21",3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3767.00665283203
209,"2011-07-28",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,4503.94464111328
211,"2011-07-30",3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4284.12976074219
214,"2011-08-02",3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4729.70135498047
234,"2011-08-22",3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,5014.77484130859
242,"2011-08-30",3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,5063.28082275391
260,"2011-09-17",3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,4144.18432617188
262,"2011-09-19",3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,4477.95373535156
263,"2011-09-20",3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,4118.14810180664
291,"2011-10-18",4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,4542.31524658203
294,"2011-10-21",4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304,4059.02087402344
298,"2011-10-25",4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,4309.66073608398
303,"2011-10-30",4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331,3471.38470458984
308,"2011-11-04",4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046,3470.6665802002
309,"2011-11-05",4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,3620.9912109375
